Date,Time,Open,High,Low,Close,Volume,,,,,,20240101,230100
1/2/2024,3:03 AM,17009.25,17010.25,17008.5,17010.25,85,,,,,,20240102,30400
1/2/2024,3:04 AM,17010,17010,17008.25,17008.5,48,,,,,,20240102,30500
1/2/2024,3:05 AM,17009.25,17009.75,17007.75,17007.75,48,,,,,,20240102,30600
1/2/2024,3:06 AM,17008.5,17009,17008.5,17008.75,15,,,,,,20240102,30700
1/2/2024,3:07 AM,17008.75,17009.75,17008.75,17009,46,,,,,,20240102,30800
1/2/2024,3:08 AM,17008.75,17009.5,17008.5,17009,47,,,,,,20240102,30900
1/2/2024,3:09 AM,17009.5,17010,17009.25,17009.75,45,,,,,,20240102,31000
1/2/2024,3:10 AM,17010,17011.25,17010,17010.75,74,,,,,,20240102,31100
1/2/2024,3:11 AM,17010.5,17011.75,17010.25,17011.75,64,,,,,,20240102,31200
1/2/2024,3:12 AM,17011.25,17013,17011.25,17011.5,129,,,,,,20240102,31300
1/2/2024,3:13 AM,17011.75,17012.5,17011.25,17011.75,77,,,,,,20240102,31400
1/2/2024,3:14 AM,17011.75,17012.25,17011.5,17011.75,45,,,,,,20240102,31500
1/2/2024,3:15 AM,17011.75,17012,17011,17011.5,45,,,,,,20240102,31600
1/2/2024,3:16 AM,17011.5,17012,17011,17011.5,48,,,,,,20240102,31700
1/2/2024,3:17 AM,17011.75,17011.75,17011,17011,65,,,,,,20240102,31800
1/2/2024,3:18 AM,17011.25,17011.5,17010.25,17010.25,59,,,,,,20240102,31900
1/2/2024,3:19 AM,17010.5,17010.5,17007.75,17008,136,,,,,,20240102,32000
1/2/2024,3:20 AM,17007.75,17008.25,17006.5,17007,152,,,,,,20240102,32100
1/2/2024,3:21 AM,17007.25,17007.5,17006.25,17007,77,,,,,,20240102,32200
1/2/2024,3:22 AM,17007.25,17007.25,17006.25,17006.75,55,,,,,,20240102,32300
1/2/2024,3:23 AM,17007,17007,17006,17006.25,49,,,,,,20240102,32400
1/2/2024,3:24 AM,17006,17006.75,17004.75,17005.5,111,,,,,,20240102,32500
