,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,Points,Futures PnL,Net Futures PnL
734,734,0,1.0,2024-02-27 03:26:00,17951.29495,0.0,2024-02-27 04:13:00,17949.2049,0.0,-2.0900499999988824,-0.000116428926482481,Long,Closed,734,-2.0900499999988824,-4.180099999997765,-7.180099999997765
735,735,0,1.0,2024-02-27 04:44:00,17956.045425,0.0,2024-02-27 05:25:00,17950.954725,0.0,-5.090700000000652,-0.0002835089731346373,Long,Closed,735,-5.090700000000652,-10.181400000001304,-13.181400000001304
736,736,0,1.0,2024-02-27 06:28:00,17938.7937,0.0,2024-02-27 08:23:00,17976.952125,0.0,38.15842500000144,0.0021271455393347574,Long,Closed,736,38.15842500000144,76.31685000000289,73.31685000000289
737,737,0,1.0,2024-02-27 09:04:00,17987.29855,0.0,2024-02-27 10:24:00,18010.69875,0.0,23.40020000000004,0.0013009290936575933,Long,Closed,737,23.40020000000004,46.80040000000008,43.80040000000008
738,738,0,1.0,2024-02-27 10:55:00,18021.30195,0.0,2024-02-27 11:14:00,18003.449475,0.0,-17.852474999999686,-0.0009906318117043527,Long,Closed,738,-17.852474999999686,-35.70494999999937,-38.70494999999937
739,739,0,1.0,2024-02-27 12:01:00,18010.8009,0.0,2024-02-27 13:00:00,18028.197,0.0,17.396100000001752,0.0009658704294489066,Long,Closed,739,17.396100000001752,34.792200000003504,31.792200000003504
740,740,0,1.0,2024-02-27 13:45:00,18010.8009,0.0,2024-02-27 14:19:00,18015.948225,0.0,5.147325000001729,0.0002857910111038832,Long,Closed,740,5.147325000001729,10.294650000003458,7.2946500000034575
741,741,0,1.0,2024-02-27 15:06:00,17989.548775,0.0,2024-02-27 15:44:00,17993.70045,0.0,4.151675000000978,0.00023078260894295155,Long,Closed,741,4.151675000000978,8.303350000001956,5.303350000001956
742,742,0,1.0,2024-02-27 15:52:00,18022.552075,0.0,2024-02-27 16:06:00,17995.450275,0.0,-27.101800000000367,-0.0015037714906977384,Long,Closed,742,-27.101800000000367,-54.20360000000073,-57.20360000000073
743,743,0,1.0,2024-02-27 16:55:00,17999.049725,0.0,2024-02-27 17:23:00,17967.953025,0.0,-31.096700000001874,-0.001727685654249276,Long,Closed,743,-31.096700000001874,-62.19340000000375,-65.19340000000375
744,744,0,1.0,2024-02-27 18:19:00,17952.545074999998,0.0,2024-02-27 20:21:00,18008.69895,0.0,56.15387500000361,0.0031279060860402055,Long,Closed,744,56.15387500000361,112.30775000000722,109.30775000000722
745,745,0,1.0,2024-02-27 20:29:00,18028.8027,0.0,2024-02-27 20:36:00,18002.1996,0.0,-26.603100000000268,-0.0014755888365232523,Long,Closed,745,-26.603100000000268,-53.206200000000536,-56.206200000000536
746,746,0,1.0,2024-02-27 20:54:00,18017.551575,0.0,2024-02-27 21:06:00,18007.949025,0.0,-9.60254999999961,-0.0005329553219275083,Long,Closed,746,-9.60254999999961,-19.20509999999922,-22.20509999999922
747,747,0,1.0,2024-02-27 21:15:00,18021.802,0.0,2024-02-27 21:57:00,18016.1982,0.0,-5.603800000000774,-0.0003109455980040605,Long,Closed,747,-5.603800000000774,-11.207600000001548,-14.207600000001548
748,748,0,1.0,2024-02-28 00:18:00,18010.050825,0.0,2024-02-28 00:37:00,18002.949525,0.0,-7.101299999998446,-0.00039429649971564954,Long,Closed,748,-7.101299999998446,-14.202599999996892,-17.20259999999689
749,749,0,1.0,2024-02-28 01:18:00,18014.551274999998,0.0,2024-02-28 02:06:00,18007.69905,0.0,-6.852224999998725,-0.00038037167262156663,Long,Closed,749,-6.852224999998725,-13.70444999999745,-16.70444999999745
750,750,0,1.0,2024-02-28 02:23:00,18011.30095,0.0,2024-02-28 02:47:00,18006.449175,0.0,-4.851774999999179,-0.0002693739343686431,Long,Closed,750,-4.851774999999179,-9.703549999998359,-12.703549999998359
751,751,0,1.0,2024-02-28 03:03:00,18014.30125,0.0,2024-02-28 03:10:00,18006.949125,0.0,-7.3521250000012515,-0.0004081271262187453,Long,Closed,751,-7.3521250000012515,-14.704250000002503,-17.704250000002503
752,752,0,1.0,2024-02-28 03:29:00,18011.550975,0.0,2024-02-28 04:15:00,18009.948825,0.0,-1.602149999998801,-8.895125146205246e-05,Long,Closed,752,-1.602149999998801,-3.204299999997602,-6.204299999997602
753,753,0,1.0,2024-02-28 05:14:00,18007.550575,0.0,2024-02-28 05:27:00,17997.450075,0.0,-10.100500000000466,-0.0005609036030709837,Long,Closed,753,-10.100500000000466,-20.20100000000093,-23.20100000000093
754,754,0,1.0,2024-02-28 06:47:00,17996.049425,0.0,2024-02-28 07:22:00,17988.70095,0.0,-7.348475000002509,-0.00040833823171179185,Long,Closed,754,-7.348475000002509,-14.696950000005018,-17.696950000005018
755,755,0,1.0,2024-02-28 08:11:00,17983.048125,0.0,2024-02-28 08:19:00,17972.70255,0.0,-10.345574999999371,-0.0005752959636257088,Long,Closed,755,-10.345574999999371,-20.691149999998743,-23.691149999998743
756,756,0,1.0,2024-02-28 09:12:00,17963.046125,0.0,2024-02-28 09:19:00,17954.454375,0.0,-8.591749999999593,-0.00047830139388452925,Long,Closed,756,-8.591749999999593,-17.183499999999185,-20.183499999999185
757,757,0,1.0,2024-02-28 10:25:00,17913.7912,0.0,2024-02-28 12:17:00,17935.70625,0.0,21.91504999999961,0.0012233619201724095,Long,Closed,757,21.91504999999961,43.83009999999922,40.83009999999922
758,758,0,1.0,2024-02-28 12:39:00,17947.544575,0.0,2024-02-28 12:41:00,17937.2061,0.0,-10.338475000000471,-0.0005760384077497393,Long,Closed,758,-10.338475000000471,-20.676950000000943,-23.676950000000943
759,759,0,1.0,2024-02-28 13:26:00,17939.543775,0.0,2024-02-28 13:46:00,17943.70545,0.0,4.161675000003015,0.00023198332422492252,Long,Closed,759,4.161675000003015,8.32335000000603,5.32335000000603
760,760,0,1.0,2024-02-28 13:51:00,17948.29465,0.0,2024-02-28 13:59:00,17936.456175,0.0,-11.838475000000471,-0.0006595877341472367,Long,Closed,760,-11.838475000000471,-23.676950000000943,-26.676950000000943
761,761,0,1.0,2024-02-28 14:42:00,17945.29435,0.0,2024-02-28 14:47:00,17909.2089,0.0,-36.08544999999867,-0.0020108586293542,Long,Closed,761,-36.08544999999867,-72.17089999999735,-75.17089999999735
762,762,0,1.0,2024-02-28 15:17:00,17917.291549999998,0.0,2024-02-28 15:29:00,17898.959925,0.0,-18.331624999998894,-0.001023124781379075,Long,Closed,762,-18.331624999998894,-36.66324999999779,-39.66324999999779
763,763,0,1.0,2024-02-28 15:31:00,17908.7907,0.0,2024-02-28 17:03:00,17947.955025,0.0,39.164324999997916,0.0021868771407327864,Long,Closed,763,39.164324999997916,78.32864999999583,75.32864999999583
764,764,0,1.0,2024-02-28 18:20:00,17926.042425,0.0,2024-02-28 19:10:00,17927.70705,0.0,1.6646250000012515,9.286070848966272e-05,Long,Closed,764,1.6646250000012515,3.329250000002503,0.32925000000250293
765,765,0,1.0,2024-02-28 20:02:00,17921.29195,0.0,2024-02-28 20:16:00,17901.2097,0.0,-20.082249999999476,-0.0011205804835961884,Long,Closed,765,-20.082249999999476,-40.16449999999895,-43.16449999999895
766,766,0,1.0,2024-02-28 20:21:00,17911.29095,0.0,2024-02-28 20:48:00,17903.70945,0.0,-7.581500000000233,-0.0004232804894501607,Long,Closed,766,-7.581500000000233,-15.163000000000466,-18.163000000000466
767,767,0,1.0,2024-02-28 23:03:00,17875.28735,0.0,2024-02-28 23:49:00,17871.2127,0.0,-4.074649999998655,-0.00022794878315612955,Long,Closed,767,-4.074649999998655,-8.14929999999731,-11.14929999999731
768,768,0,1.0,2024-02-29 00:08:00,17885.7884,0.0,2024-02-29 01:14:00,17890.710750000002,0.0,4.922350000000733,0.000275210121573435,Long,Closed,768,4.922350000000733,9.844700000001467,6.844700000001467
769,769,0,1.0,2024-02-29 01:39:00,17900.28985,0.0,2024-02-29 01:55:00,17892.960525,0.0,-7.329325000002427,-0.0004094528670440734,Long,Closed,769,-7.329325000002427,-14.658650000004855,-17.658650000004855
770,770,0,1.0,2024-02-29 02:05:00,17904.040225,0.0,2024-02-29 02:38:00,17895.460275,0.0,-8.579949999999371,-0.00047921865077240526,Long,Closed,770,-8.579949999999371,-17.159899999998743,-20.159899999998743
771,771,0,1.0,2024-02-29 02:54:00,17910.29085,0.0,2024-02-29 03:23:00,17899.70985,0.0,-10.58100000000195,-0.0005907776757294787,Long,Closed,771,-10.58100000000195,-21.1620000000039,-24.1620000000039
772,772,0,1.0,2024-02-29 03:46:00,17908.040625,0.0,2024-02-29 05:18:00,17921.2077,0.0,13.167074999997567,0.0007352605053629404,Long,Closed,772,13.167074999997567,26.334149999995134,23.334149999995134
773,773,0,1.0,2024-02-29 05:52:00,17924.042225,0.0,2024-02-29 06:01:00,17916.2082,0.0,-7.834025000000111,-0.0004370679839770412,Long,Closed,773,-7.834025000000111,-15.668050000000221,-18.66805000000022
774,774,0,1.0,2024-02-29 07:16:00,17916.041425,0.0,2024-02-29 07:33:00,17901.459675000002,0.0,-14.581749999997555,-0.0008138935188914119,Long,Closed,774,-14.581749999997555,-29.16349999999511,-32.16349999999511
775,775,0,1.0,2024-02-29 07:43:00,17909.7908,0.0,2024-02-29 07:49:00,17900.70975,0.0,-9.081049999997049,-0.0005070438902054093,Long,Closed,775,-9.081049999997049,-18.162099999994098,-21.162099999994098
